city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Casablanca,33.5992,-7.6200,Morocco,MA,Casablanca-Settat,admin,3950000,3215935
Rabat,34.0211,-6.8414,Morocco,MA,Rabat-Salé-Kénitra,primary,572717,572717
Safi,32.2833,-9.2333,Morocco,MA,Marrakech-Safi,,367249,367249
